ID,Category,Law Name,Section/Act Reference,Full Act Name,Year Enacted/Amended,Current Status,Key Provisions Summary,Who It Applies To,Enforcement Authority,Importance Level
160,New Law 2024,Coastal Aquaculture Authority Act (Amendment),CAA Amendment 2023,Coastal Aquaculture Authority (Amendment) Act,2023,Active,Electronic licensing; shrimp seed import regulations,Aquaculture Farmers,Coastal Aquaculture Authority,Medium
161,New Law 2024,Post Office Act 2023,Post Office Act 2023,Post Office Act,2023,Active (from June 2024),Replaced Post Office Act 1898; modernized postal services regulation,Postal Department & Users,Department of Posts,Low
162,New Law 2025,DPDP Rules 2025,DPDP Rules 2025,Digital Personal Data Protection Rules,2025,Active (Notified Feb 2025),Rules under DPDP Act; consent manager; data localisation details,Data Fiduciaries,Data Protection Board,High
163,New Law 2025,Waqf Amendment Act 2025,Waqf Amendment 2025,Waqf (Amendment) Act,2025,Active,Non-Muslim members in Waqf Boards; survey powers to Collector,Muslim Community,Waqf Board / Courts,High
164,Criminal Law,Kidnapping & Abduction,Section 137-140 BNS,Bharatiya Nyaya Sanhita,2023,Active,Kidnapping from India and lawful guardianship,All Persons,Sessions Court,High
165,Criminal Law,Robbery & Dacoity,Section 309-310 BNS,Bharatiya Nyaya Sanhita,2023,Active,Theft with force; gang robbery provisions,All Persons,Sessions Court,High
166,Criminal Law,Forgery,Section 336-340 BNS,Bharatiya Nyaya Sanhita,2023,Active,Making false documents; forged currency,All Persons,Sessions Court / Magistrate,High
167,Criminal Law,Criminal Trespass,Section 329-334 BNS,Bharatiya Nyaya Sanhita,2023,Active,Entering property without authorization,All Persons,Magistrate Court,Medium
168,Criminal Law,Public Nuisance,Section 270-294 BNS,Bharatiya Nyaya Sanhita,2023,Active,Acts causing nuisance to public health or safety,All Persons,Magistrate Court,Low
169,Criminal Law,Stalking,Section 78 BNS,Bharatiya Nyaya Sanhita,2023,Active,Following or monitoring a woman without consent; cyberstalking,Women,Magistrate Court,High
170,Criminal Law,Voyeurism,Section 77 BNS,Bharatiya Nyaya Sanhita,2023,Active,Watching or capturing intimate acts without consent,Women,Magistrate Court,High
171,Transport Law,Motor Vehicles Act,MVA 1988,Motor Vehicles Act,1988,Active (Amended 2019),"Vehicle registration, driving licence, traffic offences, compensation",All Road Users,Motor Accident Claims Tribunal,High
172,Transport Law,Merchant Shipping Act,MS Act 1958,Merchant Shipping Act,1958,Active,Regulation of Indian shipping; maritime safety,Shipping Companies,DG Shipping / Admiralty Court,Medium
173,Transport Law,Airports Authority Act,AAI Act 1994,Airports Authority of India Act,1994,Active,Management of civil aviation infrastructure; airports,Airlines & Passengers,AAI / DGCA,Medium
174,Transport Law,Railways Act,Railways Act 1989,Railways Act,1989,Active,"Safety, operations and services of railways; compensation",Railway Passengers,Railway Claims Tribunal,High
175,Transport Law,Carriage by Air Act,CBAA 1972,Carriage by Air Act,1972,Active,Warsaw Convention; airline liability for passengers,Air Passengers,Consumer Forum / Courts,Medium
176,Social Welfare,Mahatma Gandhi NREGA,MGNREGA 2005,Mahatma Gandhi National Rural Employment Guarantee Act,2005,Active,100 days guaranteed employment; wage payment within 15 days,Rural Workers,Gram Panchayat / State Government,High
177,Social Welfare,National Food Security Act,NFSA 2013,National Food Security Act,2013,Active,Subsidized food grains to 67% population under PDS,Below Poverty Line Families,State Food Commission,High
178,Social Welfare,Building & Other Construction Workers,BOCW Act 1996,Building and Other Construction Workers Act,1996,Active,Registration and welfare of construction workers; cess,Construction Workers,State Building Workers Board,Medium
179,Social Welfare,Unorganized Workers Social Security,UWSS Act 2008,Unorganized Workers Social Security Act,2008,Active,Social security for unorganized sector workers,Unorganized Workers,National Social Security Board,Medium
180,Sports Law,Sports Authority of India,SAI Act 2021 (Proposed),National Sports Governance Bill,2025,Pending,Statutory governance of national sports federations,Sports Bodies,Sports Ministry,Medium
181,Sports Law,Anti-Doping Rules,NADA Rules,National Anti-Doping Rules,2021,Active (Aligned with WADA 2021),Prohibition of doping in sports; testing and sanctions,Athletes,NADA / NDTF,High
182,Procedural Law,Supreme Court Rules,SC Rules 2013,Supreme Court Rules,2013,Active (Amended 2024),Procedure for filing cases before Supreme Court,Litigants,Supreme Court of India,High
183,Procedural Law,Lok Adalat,LASA Act 1987,Legal Services Authorities Act,1987,Active,Pre-litigation and court-referred dispute settlement,All Disputants,Lok Adalat,High
184,Procedural Law,Online Dispute Resolution,ODR Framework 2023,ODR Policy Committee Report (MeitY-DoJ),2023,Active,Technology-enabled dispute resolution; faster claims settlement,All Disputants,ODR Platforms,Medium
185,Anti-Corruption,Whistleblower Protection Rules,WBP Rules 2014,Whistle Blowers Protection Rules,2014,Active,Confidentiality of complainant; central vigilance officer,Government Employees,Competent Authority,High
186,Anti-Corruption,CVC Act,CVC Act 2003,Central Vigilance Commission Act,2003,Active,Independent body to oversee vigilance in central government,Public Servants,Central Vigilance Commission,High
187,Tax Law,GST E-Invoicing,GST E-Invoice Rules,GST E-Invoicing Regulations,2020,Active (Mandatory for turnover >5 Cr from 2023),Mandatory electronic invoice; IRN generation from IRP,Businesses above threshold,GST Portal / GSTIN,High
188,Tax Law,GST Annual Return,GSTR-9 Rules,GST Annual Return Rules,2017,Active,Annual reconciliation of GST; GSTR-9 and GSTR-9C,All GST Registrants,GST Authority,High
189,Family Law,Guardianship in Hindu Law,Section 6 HMA,Hindu Minority and Guardianship Act,1956,Active,Father is natural guardian; mother in certain cases,Hindu Minors,Family Court,Medium
190,Family Law,Maintenance of Wife,Section 125 CrPC / 144 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,"Magistrate can order maintenance for wife, children, parents",Dependents,Magistrate Court,High
191,Family Law,Mutual Consent Divorce,Section 13B HMA,Hindu Marriage Act,1955,Active,Divorce by mutual consent; 6 months cooling period (waivable),Married Couples,Family Court,High
192,Family Law,Irretrievable Breakdown (Proposed),Marriage Laws Amendment Bill,Marriage Laws (Amendment) Bill,2010,Pending,Divorce on grounds of irretrievable breakdown,Married Couples,Family Court / Parliament,Medium
193,Property Law,Easements Act,EA 1882,Indian Easements Act,1882,Active,"Rights of way, light, support over others' property",Property Owners,Civil Court,Medium
194,Property Law,Urban Land Ceiling (Repealed),ULC Act 1976,Urban Land (Ceiling and Regulation) Act,1976,Repealed (1999 Central; some states retain),Ceiling on urban land holdings; surplus land vesting in govt,Urban Landowners,N/A,Low
195,Financial Law,SEBI LODR Regulations,SEBI LODR 2015,SEBI (Listing Obligations and Disclosure Requirements) Regulations,2015,Active (Amended 2023),Disclosure requirements for listed companies; corporate governance,Listed Companies,SEBI,High
196,Financial Law,SEBI Insider Trading Regulations,SEBI PIT 2015,SEBI (Prohibition of Insider Trading) Regulations,2015,Active (Amended 2022),Prohibition of trading on unpublished price-sensitive information,Company Insiders,SEBI,High
197,Financial Law,SEBI Takeover Code,SEBI SAST 2011,SEBI (Substantial Acquisition of Shares and Takeovers) Regulations,2011,Active,Open offer trigger at 25% shareholding; price determination,Acquirers & Target Companies,SEBI,High
198,Arbitration Law,International Commercial Arbitration,Part II A&C Act,Arbitration and Conciliation Act (International),1996,Active,Enforcement of foreign arbitral awards under New York Convention,International Parties,High Court / Supreme Court,High
199,Cyber Law,IT Act - Cyber Terrorism,Section 66F IT Act,Information Technology Act,2000,Active,Cyber attacks on critical infrastructure; life imprisonment,All Persons,Sessions Court / NIA,High
200,Cyber Law,Aadhaar Act,Aadhaar Act 2016,Aadhaar (Targeted Delivery of Financial and Other Subsidies) Act,2016,Active (Amended 2019),Biometric identity; voluntary use for private entities,All Residents,UIDAI / Courts,High
201,Environmental Law,Coastal Regulation Zone,CRZ Notification 2019,Coastal Regulation Zone Notification,2019,Active,Regulation of construction activities in coastal areas,Coastal Developers,National Coastal Zone Management Authority,High
202,Environmental Law,Solid Waste Management Rules,SWM Rules 2016,Solid Waste Management Rules,2016,Active (Amended 2024),Waste segregation; composting obligations; landfill restrictions,Urban Local Bodies,Central Pollution Control Board,Medium
203,Tax Law,Tax Deducted at Source - Section 194C,Section 194C IT Act,Income Tax Act (TDS on Contractor Payments),1961,Active (Updated 2024),"1-2% TDS on payments to contractors above Rs 30,000",Deductors,Income Tax Department,Medium
204,Tax Law,Advance Tax Provisions,Section 207-219 IT Act,Income Tax Act (Advance Tax),1961,Active,Quarterly advance tax payment schedule for all assessees,All Taxpayers,Income Tax Department,Medium
205,Company Law,NCLT Rules,NCLT Rules 2016,National Company Law Tribunal Rules,2016,Active,Procedure for NCLT; insolvency and company matters,Companies & Creditors,NCLT,High
206,Company Law,OPC (One Person Company),Section 2(62) Companies Act,Companies Act 2013,2013,Active (Eased 2021),Single member company; conversion rules; relaxed compliance,Solo Entrepreneurs,ROC,Medium
207,Company Law,Startup India,DPIIT Startup Policy,Startup India Action Plan & Rules,2016,Active (Ongoing 2026),"Tax exemption, funding support, easier compliance for startups",Startups,DPIIT / Tax Authorities,High
208,Criminal Law,Anti-Trafficking Law,ITPA 1956,Immoral Traffic (Prevention) Act,1956,Active,Prevention of trafficking for prostitution; rescue and rehabilitation,All Persons,Special Court / Anti-Trafficking Unit,High
209,Criminal Law,Gambling Act (Central),Public Gambling Act 1867,Public Gambling Act,1867,Active (State subject),Prohibition of public gambling; subject to state legislation,All Persons,Magistrate Court,Medium
210,Criminal Law,Prevention of Cruelty to Animals,PCA Act 1960,Prevention of Cruelty to Animals Act,1960,Active (Amended 2022),Prevention of unnecessary pain to animals; penalties enhanced,All Persons,Magistrate Court,Medium
211,Administrative Law,Central Information Commission,RTI Act Rules 2012,Right to Information (Regulation of Fee and Cost) Rules,2012,Active,RTI fee structure; appeal timeline; penalty on PIO,RTI Applicants,Central Information Commission,High
212,Administrative Law,Service Rules - Central Govt,CCS Rules 1965,"Central Civil Services (Classification, Control and Appeal) Rules",1965,Active (Amended 2023),Disciplinary proceedings for central government employees,Central Govt Employees,CAT / Departmental Authority,Medium
213,Labour Law,EPFO Rules,EPF Scheme 1952,Employees Provident Fund Scheme,1952,Active (Amended 2024),12% employer and employee contribution; withdrawal rules,Employees & Employers,EPFO,High
214,Labour Law,ESI Scheme,ESI Act 1948,Employees State Insurance Act,1948,Active,Medical and cash benefits to insured workers; 6.5% combined contribution,Employees & Employers,ESIC,High
215,Labour Law,Inter-State Migrant Workers,ISMW Act 1979,Inter-State Migrant Workmen (Regulation of Employment) Act,1979,Active,Protection of migrant workers; displacement allowance,Migrant Workers,Labour Commissioner,Medium
216,Healthcare Law,AYUSH Regulation,AYUSH Ministry Rules,Indian Medicine Central Council Act,1970,Active (Amended 2020),"Regulation of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Homeopathy",AYUSH Practitioners,Central Council of Indian Medicine,Medium
217,Healthcare Law,Clinical Trial Rules,CT Rules 2019,New Drugs and Clinical Trials Rules,2019,Active (Amended 2023),Ethics committee approval; informed consent; compensation for trial-related injury,Pharma Companies & Patients,CDSCO,High
218,Property Law,PMAY Scheme,PMAY 2015,Pradhan Mantri Awas Yojana,2015,Active (Extended to 2026),Affordable housing subsidy under Credit Linked Subsidy Scheme,Low-Income Groups,NHB / State Governments,High
219,Property Law,Model Tenancy Act,MTA 2021,Model Tenancy Act,2021,Active (States to adopt),Written rent agreement mandatory; rent authority; dispute resolution,Landlords & Tenants,Rent Authority / Courts,High
220,Financial Law,Account Aggregator Framework,RBI AA Framework,Master Direction on Account Aggregator,2021,Active (Expanded 2024),Consent-based sharing of financial data across institutions,Bank Customers & Financial Entities,Reserve Bank of India,High
221,Financial Law,NACH Mandate Rules,NPCI NACH Rules,National Automated Clearing House Rules,2017,Active,Electronic clearing for recurring payments; eNACH mandate,Banks & Customers,NPCI / RBI,Medium
222,Cyber Law,Cybersecurity Framework,NCIIPC Guidelines,National Cyber Security Policy and NCIIPC Guidelines,2013,Active (Updated 2024),Protection of critical information infrastructure; CERT-In reporting,Critical Sector Entities,NCIIPC / CERT-In,High
223,Cyber Law,CERT-In Directions 2022,CERT-In Directions,Information Technology (CERT-In) Directions,2022,Active,6-hour incident reporting; mandatory log retention for 180 days,All Organizations,CERT-In,High
224,IP Law,Traditional Knowledge Digital Library,TKDL,Traditional Knowledge Digital Library (Defensive publication),2001,Active (Ongoing),Documentation of traditional knowledge to prevent biopiracy,Knowledge Holders,CSIR / Patent Office,Medium
225,IP Law,Semiconductor Layout Design,SLDI Act 2000,Semiconductor Integrated Circuits Layout-Design Act,2000,Active,Protection of semiconductor layout designs; 10-year term,Chip Designers,Semiconductor Registry,Low
226,Social Welfare,PM Jan Dhan Yojana,PMJDY 2014,Pradhan Mantri Jan Dhan Yojana,2014,Active (Ongoing 2026),Zero-balance bank accounts; accident insurance; overdraft facility,Unbanked Individuals,Banks / Ministry of Finance,High
227,Social Welfare,PM Mudra Yojana,PMMY 2015,Pradhan Mantri Mudra Yojana,2015,Active (Ongoing 2026),"Loans up to Rs 10 lakh for small businesses; Shishu, Kishor, Tarun",Small Entrepreneurs,Banks / MFIs,High
228,Disaster Management,National Disaster Response Force Act,NDRF Rules 2008,National Disaster Response Force Rules,2008,Active,Establishment and operational rules of NDRF battalions,NDRF Personnel,NDMA,Low
229,Transport Law,Road Safety Rules 2023,MV Amendment 2019 Notified Rules,Motor Vehicles (Amendment) Act Implementation Rules,2023,Active,Increased penalties for traffic violations; automated enforcement,All Road Users,Traffic Police / RTO,High
230,Constitutional Law,Emergency Provisions,Articles 352-360,Constitution of India,1950,Active,"National emergency, state emergency, financial emergency provisions",Government,Parliament / President,High
231,Constitutional Law,Directive Principles,Articles 36-51,Constitution of India,1950,Active (Non-justiciable),Guiding principles for state policy; not enforceable in court,State Government,N/A - Policy Guidance,Low
232,Constitutional Law,Fundamental Duties,Article 51A,Constitution of India (42nd Amendment),1976,Active (Non-justiciable),11 fundamental duties of Indian citizens,All Citizens,N/A - Moral Obligation,Low
233,Criminal Law,Disproportionate Assets,Section 13(1)(e) PC Act,Prevention of Corruption Act,1988,Active,Possession of assets disproportionate to known income sources,Public Servants,Special Court,High
234,Criminal Law,Money Laundering (PMLA) Amendment 2023,PMLA Amendment 2023,Prevention of Money Laundering Act (Amendment),2023,Active,Expanded definition; reporting entities include advocates & CAs,Financial Professionals,Enforcement Directorate,High
235,Environmental Law,Climate Change Policy,NAPCC 2008,National Action Plan on Climate Change,2008,Active (Updated goals 2023),"8 national missions on solar energy, water, forests, etc.",All Sectors,Ministry of Environment,Medium
236,Environmental Law,Hazardous Waste Rules,HW Rules 2016,Hazardous and Other Wastes (Management) Rules,2016,Active (Amended 2022),"Handling, storage and disposal of hazardous waste; manifest system",Industries,State Pollution Control Board,Medium
237,Media Law,OTT Platform Regulations,IT (Intermediary) Rules Part III,Information Technology Rules (OTT Self-Regulation),2021,Active,Three-tier grievance redressal for digital content creators,OTT Platforms & Content Creators,MIB / Courts,High
238,Media Law,Fake News Regulations,IT Rules 2023 Amendment,Information Technology (Amendment) Rules 2023,2023,Active (Stayed by HC),Fact-checking unit for government-related content; PIB FCU,Digital Publishers,MIB / PIB,High
239,Election Law,Election Commission Powers,Articles 324-329,Constitution of India,1950,Active,Superintendence and control over elections by Election Commission,Election Commission,Supreme Court,High
240,Election Law,Voter Verifiable Paper Audit Trail,ECI VVPAT Rules,Conduct of Elections Rules (VVPAT),2013,Active,Paper trail for electronic voting machines,Voters,Election Commission of India,High
241,Agriculture Law,Minimum Support Price,CACP Recommendations,Commission for Agricultural Costs and Prices MSP System,1965,Active (Enhanced 2024),Price support for 23 agricultural commodities by government,Farmers,State Procurement Agencies,High
242,Agriculture Law,PM Fasal Bima Yojana,PMFBY 2016,Pradhan Mantri Fasal Bima Yojana,2016,Active (Restructured 2020),Crop insurance at subsidized premium; cluster-based bidding,Farmers,Insurance Companies / Agriculture Dept,High
243,Social Welfare,Ayushman Bharat PMJAY,PMJAY 2018,Pradhan Mantri Jan Arogya Yojana,2018,Active (Expanded 2024),Health coverage up to Rs 5 lakh per year for poor families,Below Poverty Line Families,NHA / State Health Agencies,High
244,Social Welfare,Old Age Pension Schemes,IGNOAPS,Indira Gandhi National Old Age Pension Scheme,2007,Active,Monthly pension for BPL citizens above 60 years,Senior Citizens below Poverty Line,State Social Welfare Department,High
245,Company Law,CSR Requirements,Section 135 Companies Act,Companies Act 2013 (CSR Provisions),2013,Active (Amended 2021),2% of net profit on CSR activities for eligible companies,Large Companies,ROC / MCA,High
246,Company Law,IBBI - Insolvency Professionals,IBBI Regulations 2016,Insolvency and Bankruptcy Board of India Regulations,2016,Active (Amended 2023),"Regulation of insolvency professionals, agencies and information utilities",Insolvency Professionals,IBBI,High
247,Banking Law,UPI Regulation,NPCI UPI Circular,NPCI UPI Product Circulars and RBI Guidelines,2016,Active (Updated 2025),UPI transaction limits; dispute resolution; wallet interoperability,UPI Users & PSPs,NPCI / RBI,High
248,Banking Law,Digital Lending Guidelines,RBI Digital Lending Rules 2022,Reserve Bank of India Digital Lending Guidelines,2022,Active,Loan disbursement to bank account only; KFS mandatory; cooling period,Digital Lenders & Borrowers,Reserve Bank of India,High
249,IP Law,Patent Agent Examination,Patent Agent Rules 2003,The Patents Rules (Patent Agent),2003,Active (Amended 2024),Qualification and examination for patent agents,Patent Agents,Indian Patent Office,Low
250,Tax Law,Faceless Assessment Scheme,Faceless Assessment 2020,Income Tax (Faceless Assessment) Scheme,2020,Active (Amended 2022),Online income tax assessment without personal contact; random allocation,All Taxpayers,Income Tax Department,High
251,Cyber Law,UPI One World,UPI One World 2023,NPCI UPI One World for Foreign Nationals,2023,Active,UPI access for foreign nationals visiting India without Indian bank account,Foreign Nationals in India,NPCI,Low
252,Criminal Law,Anti-Trafficking (NIA Act),NIA Amendment 2019,National Investigation Agency (Amendment) Act,2019,Active,"NIA jurisdiction over trafficking, cyberterrorism, WMD offences",Accused & Victims,NIA / Special Court,High
253,Environmental Law,Battery Waste Management Rules,BWM Rules 2022,Battery Waste Management Rules,2022,Active,EPR for battery manufacturers; collection and recycling targets,Battery Manufacturers & Importers,CPCB / SPCB,Medium
254,Transport Law,Electric Vehicle Policy,EV Policy 2023-2024,PM E-DRIVE Scheme and EV Import Duty Relaxation Policy,2024,Active,Import duty reduction for EVs; FAME-III subsidy scheme,EV Manufacturers & Buyers,Ministry of Heavy Industries,High
255,Social Welfare,SVAMITVA Scheme,SVAMITVA 2020,Survey of Villages and Mapping with Improvised Technology in Village Areas,2020,Active (Ongoing 2026),Property rights to rural households; drone survey; property cards,Rural Property Holders,Ministry of Panchayati Raj,High
256,Administrative Law,E-Courts Project,E-Courts Phase III,National Policy and Action Plan for Implementation of ICT in Indian Courts,2023,Active (Phase III 2023-27),Digitization of courts; case management system; hybrid hearings,Litigants & Lawyers,Supreme Court eCommittee,High
257,Arbitration Law,Domestic Award Enforcement,Order 21 CPC & Arbitration Act,CPC Order 21 (Execution) & A&C Act Section 36,1996,Active,Domestic awards enforceable as court decrees; automatic stay removed,Award Holders,District Court / HC,High
258,Family Law,Surrogacy Regulation Act,SRA 2021,Surrogacy (Regulation) Act,2021,Active,Altruistic surrogacy only; prohibition of commercial surrogacy,Intending Parents & Surrogates,National/State Surrogacy Board,High
259,Family Law,Assisted Reproductive Technology Act,ART Act 2021,Assisted Reproductive Technology (Regulation) Act,2021,Active,Regulation of ART clinics and banks; rights of donors,ART Clinics & Patients,National ART Registry,High
260,Company Law,Start-Up Recognition,DPIIT Startup Registration Rules,Startup India - DPIIT Recognition and Tax Exemption Rules,2016,Active (Updated 2023),DPIIT recognition criteria; Section 80-IAC tax holiday for 3 years,Recognized Startups,DPIIT / Income Tax Authority,High
261,Financial Law,IFSC Regulations,IFSC Authority Act 2019,International Financial Services Centres Authority Act,2019,Active,Unified regulator for GIFT City IFSC; global financial services,IFSC Entities,IFSCA,High
262,Criminal Law,Gangsters Act (UP),UP Gangsters Act 1986,Uttar Pradesh Gangsters and Anti-Social Activities (Prevention) Act,1986,Active (Amended 2023),State-level anti-gangster provisions; property attachment,Gangsters (UP),UP Police / Courts,High
263,Criminal Law,MCOCA (Maharashtra),MCOCA 1999,Maharashtra Control of Organised Crime Act,1999,Active,Organized crime control; special courts; bail restrictions,Organized Crime (Maharashtra),Special Court (Maharashtra),High
264,Property Law,RERA Penalty Provisions,Section 61 RERA,Real Estate (Regulation and Development) Act,2016,Active,5% project cost penalty on builder for non-compliance,Real Estate Developers,RERA Authority,High
265,Property Law,Stamp Duty on E-Transactions,IT Act Section 10A,Information Technology Act (Electronic Contracts),2000,Active,Electronic contracts valid; stamp duty implications for digital agreements,Digital Contract Parties,Stamp Authority,Medium
266,Labour Law,Gig Workers Protection,Code on Social Security 2020,Code on Social Security (Gig Worker Provisions),2020,Active (State rules pending),Gig and platform workers covered for social security benefits,Gig Workers,National Social Security Board,High
267,Labour Law,Fixed Term Employment,FTE Rules 2018,Industrial Employment (Standing Orders) Amendment Rules,2018,Active (Codified 2020),Fixed term workers get same benefits as permanent workers; no retrenchment,Fixed Term Employees,Labour Court,High
268,Tax Law,TDS on Crypto (Section 194S),Section 194S IT Act,Income Tax Act (TDS on VDA transfer),2022,Active,"1% TDS on transfer of virtual digital assets above Rs 10,000",Crypto Traders,Income Tax Department,High
269,Tax Law,Angel Tax Exemption,CBDT Notification 2023,Income Tax (Angel Tax Exemption for Foreign Investors),2023,Active,Startups with DPIIT recognition exempt from angel tax; foreign investors included,Startups & Angel Investors,Income Tax Department,High
270,Healthcare Law,Telemedicine Guidelines,Telemedicine Guidelines 2020,Telemedicine Practice Guidelines (MCI/NMC),2020,Active,Registered doctors can provide telehealth; video/audio/text consultation,Doctors & Patients,National Medical Commission,High
271,Healthcare Law,National Medical Commission Act,NMC Act 2020,National Medical Commission Act,2020,Active,Replaced MCI; undergraduate medical education regulation; exit exam,Medical Institutions & Students,National Medical Commission,High
272,Administrative Law,PM Gati Shakti Portal,PM GS Policy 2021,PM Gati Shakti - National Master Plan,2021,Active (Ongoing 2026),Multi-modal infrastructure connectivity; integrated planning,Infrastructure Developers,Ministry of Commerce & Industry,Medium
273,Cyber Law,National Cybersecurity Strategy,NCS 2020,National Cyber Security Strategy,2020,Active (Updated 2025),Comprehensive cybersecurity policy; sector-specific guidelines,All Digital Entities,NSCS / MeitY,High
274,Election Law,Electoral Bonds (Struck Down),Electoral Bonds Scheme 2018,Electoral Bonds Scheme,2018,Struck down by SC 2024,Anonymous political funding through SBI; struck down as unconstitutional,Political Parties & Donors,Supreme Court of India,High
275,Criminal Law,E-FIR Provisions,Section 173(1) BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,Online/electronic FIR registration for certain offences,Complainants,Police / E-Portal,High
276,Criminal Law,Proclamation & Attachment BNSS,Section 84-90 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,Proclamation of persons absconding; attachment of their property,Courts & Police,Sessions Court,Medium
277,Immigration Law,OCI Card Rules,OCI Rules,Citizenship (Amendment) Rules (OCI Provisions),2004,Active (Updated 2021),Overseas Citizen of India card; lifelong visa; property rights restricted,Indian Diaspora,Ministry of Home Affairs,High
278,Agriculture Law,Organic Farming Certification,NPOP Rules,National Programme for Organic Production Rules,2001,Active (Updated 2023),Organic certification standards; Jaivik Bharat logo,Organic Farmers & Exporters,APEDA,Medium
279,Company Law,ESOP Regulations,SEBI ESOP 2021,SEBI (Share Based Employee Benefits and Sweat Equity) Regulations,2021,Active,Employee stock options in listed companies; ESOP trust rules,Listed Companies & Employees,SEBI,High
280,Financial Law,Mutual Fund Regulations,SEBI MF Reg 1996,SEBI (Mutual Funds) Regulations,1996,Active (Amended 2024),AMC obligations; NAV calculation; SID disclosure norms,Mutual Fund Houses,SEBI,High
281,Financial Law,Alternative Investment Fund Regulations,SEBI AIF 2012,SEBI (Alternative Investment Funds) Regulations,2012,Active (Amended 2024),"Regulation of private equity, venture capital, hedge funds in India",AIF Managers,SEBI,High
282,Social Welfare,Beti Bachao Beti Padhao,BBBP Scheme 2015,Beti Bachao Beti Padhao Scheme,2015,Active (Ongoing 2026),Against sex-selective abortion; girl child education incentives,Girl Child & Parents,Ministry of Women & Child Development,High
283,Family Law,One Stop Centres,OSC Scheme 2015,Sakhi One Stop Centres Scheme,2015,Active,"Integrated support to women affected by violence; shelter, legal aid, medical",Women Victims of Violence,Ministry of Women & Child Development,High
284,Criminal Law,PMLA Amendment 2023 - Bail,Section 45 PMLA,Prevention of Money Laundering Act (Bail Provisions),2023,Active,Twin conditions for bail in money laundering cases upheld by courts,PMLA Accused,Special PMLA Court,High
285,Criminal Law,Arms Act,Arms Act 1959,Arms Act,1959,Active (Amended 2019),Licensing of arms and ammunition; penalties enhanced,Arms Holders & Dealers,Licensing Authority / Courts,High
286,Criminal Law,Explosive Substances Act,ES Act 1908,Explosive Substances Act,1908,Active,Possession and use of explosive substances; death penalty possible,All Persons,Sessions Court,High
287,Property Law,Government Grants Act,Government Grants Act 1895,Government Grants Act,1895,Active,Grants of land by central government; terms and conditions binding,Government Land Grantees,Civil Court,Low
288,Environmental Law,Wetlands Conservation Rules,Wetlands Rules 2017,Wetlands (Conservation and Management) Rules,2017,Active (Amended 2022),Demarcation and wise use of wetlands; prohibited activities,Developers in Wetland Zones,State Wetland Authority,Medium
289,Healthcare Law,Drugs Price Control,DPCO 2013,Drugs (Prices Control) Order,2013,Active (Amended 2022),Price cap on essential medicines under NLEM; ceiling prices,Pharma Companies & Patients,NPPA,High
290,Company Law,Cross Border Mergers,Section 234 Companies Act,Companies Act 2013 (Cross Border Merger Rules),2017,Active,Mergers between Indian and foreign companies; RBI/NCLT approval,Multinational Companies,NCLT / RBI,High
291,Criminal Law,Fake Encounters Liability,D.K. Basu Guidelines,Supreme Court Guidelines on Custodial Deaths (D.K. Basu v State of WB),1997,Active,Mandatory procedures during arrest; liability for custodial deaths,Police Officers,High Court / NHRC,High
292,Criminal Law,Right to Free Legal Aid,Section 12 LSA Act,Legal Services Authorities Act,1987,Active,"Free legal services to poor, SC/ST, victims; NALSA mandate",Marginalized Groups,NALSA / DLSA,High
293,Arbitration Law,Emergency Arbitration,Part I A&C Act (Institutional Rules),Arbitration and Conciliation Act (Institutional Arbitration),2016,Active,"Emergency arbitrator in SIAC, ICC, MCIA rules applicable in India",International Parties,Arbitral Institutions,Medium
294,Company Law,Business Responsibility & Sustainability Report,SEBI BRSR 2021,SEBI (BRSR) Circular,2021,Active (Mandatory top 1000 companies from FY 2022-23),ESG disclosures for large listed companies; supply chain reporting,Large Listed Companies,SEBI,High
295,Financial Law,Central Bank Digital Currency,RBI CBDC Framework,Reserve Bank of India Digital Rupee (e₹) Framework,2022,Active (Pilot ongoing 2024-26),Digital version of Indian Rupee; wholesale and retail CBDC,Banks & Consumers,Reserve Bank of India,High
296,Criminal Law,Contempt of Court Act,Contempt of Courts Act 1971,Contempt of Courts Act,1971,Active,Civil and criminal contempt; simple imprisonment up to 6 months,All Persons,High Court / Supreme Court,High
297,Constitutional Law,Governor's Powers,Articles 153-161,Constitution of India,1950,Active,Governor as constitutional head of state; pardon and clemency powers,State Governments,High Court / Supreme Court,Medium
298,Environmental Law,Carbon Credits Framework,BEE PAT Scheme,Bureau of Energy Efficiency - Perform Achieve Trade Scheme,2012,Active (Updated 2023),Energy saving certificates; carbon credit market for large industries,Energy Intensive Industries,Bureau of Energy Efficiency,High
299,Administrative Law,PM eVIDYA,PM eVIDYA 2020,PM eVIDYA Programme (MoE),2020,Active (Ongoing 2026),Digital education initiative; 200 new textbooks on DIKSHA platform,Students & Teachers,Ministry of Education,Medium
300,New Law 2026,AI Regulation Framework (Proposed),AI Policy India 2025-26,India AI Mission and Proposed AI Governance Framework,2025,In Development (2026),Responsible AI development; GPAI member; AI safety standards for high-risk systems,AI Companies & Developers,MeitY / Proposed AI Regulator,High
